Comment,Designator,Footprint,JLCPCB Part #
"20pF","C1,C2","Capacitor_SMD:C_0402_1005Metric","C1554"
"100nF","C3,C6,C7","Capacitor_SMD:C_0402_1005Metric","C307331"
"1uF","C4,C5,C8,C9","Capacitor_SMD:C_0402_1005Metric","C52923"
"B5817","D1","Diode_SMD:D_SOD-323","C123899"
"500mA, 6V","F1","Fuse:Fuse_0805_2012Metric","C269104"
"USB_C_Receptacle_USB2.0","J1","next_micro:USB Type-C Mid-Mount Receptacle 16P","C168688"
"5.1k","R1,R2","Resistor_SMD:R_0402_1005Metric","C25905"
"22","R3,R4","Resistor_SMD:R_0402_1005Metric","C25092"
"10k","R5","Resistor_SMD:R_0402_1005Metric","C25744"
"RESET","SW1","Button_Switch_SMD:SW_SPST_B3U-1000P","C231329"
"ATmega32U4-M","U1","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","C112161"
"RT9013-33GB","U2","Package_TO_SOT_SMD:SOT-23-5","C47773"
"8MHz","Y1","Crystal:Crystal_SMD_Qantek_QC5CB-2Pin_5x3.2mm","C115962"
