Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,Conn_01x13,PinHeader_1x13_P2.54mm_Vertical,-1.27,-1.27,180,bottom
J4,Conn_01x13,PinHeader_1x13_P2.54mm_Vertical,-16.51,-1.27,180,bottom
C1,20pF,C_0402_1005Metric,5.207,-28.0182,90,top
C2,20pF,C_0402_1005Metric,12.573,-28.0182,90,top
C3,100nF,C_0402_1005Metric,13.589,-17.526,-90,top
C4,1uF,C_0402_1005Metric,8.89,-14.6832,90,top
C5,1uF,C_0402_1005Metric,11.557,-15.0642,0,top
C6,100nF,C_0402_1005Metric,13.589,-22.4302,-90,top
C7,100nF,C_0402_1005Metric,3.937,-18.5922,90,top
C8,1uF,C_0402_1005Metric,11.43,-9.5042,90,top
C9,1uF,C_0402_1005Metric,13.97,-9.5042,90,top
D1,B5817,D_SOD-323,9.144,-11.5082,180,top
F1,"500mA, 6V",Fuse_0805_2012Metric,5.842,-10.2382,-90,top
J1,USB_C_Receptacle_USB2.0,USB Type-C Mid-Mount Receptacle 16P,8.89,-2.286,180,top
J3,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,3.815,-31.75,90,top
R1,5.1k,R_0402_1005Metric,10.414,-9.4782,-90,top
R2,5.1k,R_0402_1005Metric,7.366,-9.4782,-90,top
R3,22,R_0402_1005Metric,9.398,-9.4742,-90,top
R4,22,R_0402_1005Metric,8.382,-9.4762,-90,top
R5,10k,R_0402_1005Metric,3.937,-16.5882,90,top
SW1,RESET,SW_SPST_B3U-1000P,5.08,-13.6672,180,top
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,8.89,-19.8752,-90,top
U2,RT9013-33GB,SOT-23-5,12.954,-12.2702,0,top
Y1,8MHz,Crystal_SMD_Qantek_QC5CB-2Pin_5x3.2mm,8.89,-27.1292,180,top
